City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
528,kutulik,53.3508,102.7839,-30.369999999999962,100,55,1.34,RU,1706648206
529,xinji,37.9028,115.2036,29.57000000000006,83,56,2.62,CN,1706648206
530,metu,8.3,35.5833,62.45600000000003,86,95,0.95,ET,1706648206
531,buka,40.8108,69.1986,34.44800000000002,95,100,2.77,UZ,1706648207
532,akhmet'a,42.0311,45.2075,32.522000000000034,87,99,1.08,GE,1706648207
533,lensk,60.7253,114.9278,-27.66999999999996,99,33,1.97,RU,1706648207
534,zhangjiajie,29.1294,110.4783,46.70600000000003,98,100,0.82,CN,1706648207
535,klyuchi,52.2667,79.1667,-1.0119999999999578,94,82,2.7,RU,1706648207
536,sinop,41.7711,34.8709,27.17600000000009,93,86,1.07,TR,1706647982
537,manokwari,-0.8667,134.0833,80.02400000000002,80,100,0.79,ID,1706648207
538,bandarbeyla,9.4942,50.8122,76.76600000000002,70,93,5.4,SO,1706648208
539,junction city,39.0286,-96.8314,61.39400000000008,48,0,4.12,US,1706648208
540,hadibu,12.65,54.0333,75.99199999999999,78,90,3.8,YE,1706648208
541,brownfield,33.1812,-102.2744,65.94800000000004,25,91,1.43,US,1706648208
542,kamina,-8.7386,24.9906,65.066,96,100,1.29,CD,1706648208
543,menongue,-14.6585,17.691,65.46200000000006,91,91,1.94,AO,1706648208
544,turpan,42.9333,89.1667,30.002000000000077,46,100,0.46,CN,1706648208
545,west frankfort,37.8978,-88.9315,43.016000000000005,93,100,5.14,US,1706648208
546,kayyerkan,69.3786,87.7439,1.2919999999999945,70,94,5.0,RU,1706648208
547,inhambane,-23.865,35.3833,75.61400000000003,82,0,4.19,MZ,1706648209
548,grand-lahou,5.1367,-5.0242,80.99600000000005,84,7,4.43,CI,1706648209
549,al hazm,16.1641,44.7769,75.57800000000006,53,100,3.63,YE,1706648209
550,santana,-0.0583,-51.1817,84.38000000000005,74,40,3.09,BR,1706648052
551,allende,25.2833,-100.0167,67.892,45,100,2.72,MX,1706648209
552,watsa,3.0372,29.5355,68.342,46,100,0.92,CD,1706648209
553,al bawiti,28.3492,28.8659,47.96600000000001,48,4,3.42,EG,1706648209
554,nacala,-14.5428,40.6728,75.18200000000002,93,100,2.28,MZ,1706648209
555,singkil,-7.9855,111.4161,74.62400000000002,97,97,0.45,ID,1706648210
556,general jose de san martin,-26.5374,-59.3416,98.88800000000005,21,0,3.21,AR,1706648210
557,hilo,19.7297,-155.09,84.25400000000005,61,0,2.24,US,1706648210
558,camacupa,-12.0167,17.4833,64.92200000000004,90,68,1.07,AO,1706648210
559,carpinteria,34.3989,-119.5185,76.78399999999999,55,73,2.6,US,1706648210
560,juan griego,11.0817,-63.9655,98.7260000000001,41,78,6.69,VE,1706648210
561,ghadamis,30.1337,9.5007,53.564000000000036,44,24,4.54,LY,1706648210
562,puerto baquerizo moreno,-0.9,-89.6,79.79000000000002,89,75,5.14,EC,1706648211
563,muisne,0.6,-80.0333,78.13399999999999,91,100,3.22,EC,1706648211
564,san pedro pochutla,15.7333,-96.4667,85.22600000000008,49,0,3.75,MX,1706648211
565,praia da vitoria,38.7333,-27.0667,61.05200000000008,82,75,5.34,PT,1706648010
566,sao jose da coroa grande,-8.8978,-35.1478,80.31200000000007,70,12,4.18,BR,1706648211
567,bac lieu,9.285,105.7244,75.41600000000001,88,88,4.9,VN,1706648212
568,sodankyla,67.4167,26.6,31.783999999999992,88,61,6.21,FI,1706648212
569,bukoba,-1.3317,31.8122,68.9,82,100,3.32,TZ,1706648212
570,thibodaux,29.7958,-90.8229,69.98000000000005,44,100,3.13,US,1706647923
571,itupiranga,-5.1347,-49.3267,88.12400000000002,92,96,0.38,BR,1706648212
572,pacific grove,36.6177,-121.9166,65.39000000000001,84,0,4.47,US,1706648212
573,yang talat,16.3998,103.3679,75.95600000000003,1,42,1.63,TH,1706648212
574,tughyl,47.7252,84.2063,5.162000000000056,90,100,0.38,KZ,1706648212
